word		onto_global			onto_domain				second_feature
CCTV10高清			channel_name				CCTV-10高清				channel
中央10台高清			channel_name				CCTV-10高清				channel
中央10套高清			channel_name				CCTV-10高清				channel
央视10台高清			channel_name				CCTV-10高清				channel
央视10套高清			channel_name				CCTV-10高清				channel
CCTV11高清			channel_name				CCTV-11高清				channel
中央11台高清			channel_name				CCTV-11高清				channel
中央11套高清			channel_name				CCTV-11高清				channel
央视11台高清			channel_name				CCTV-11高清				channel
央视11套高清			channel_name				CCTV-11高清				channel
CCTV12高清			channel_name				CCTV-12高清				channel
中央12台高清			channel_name				CCTV-12高清				channel
中央12套高清			channel_name				CCTV-12高清				channel
央视12台高清			channel_name				CCTV-12高清				channel
央视12套高清			channel_name				CCTV-12高清				channel
CCTV13高清			channel_name				CCTV-13高清				channel
中央13台高清			channel_name				CCTV-13高清				channel
中央13套高清			channel_name				CCTV-13高清				channel
央视13台高清			channel_name				CCTV-13高清				channel
央视13套高清			channel_name				CCTV-13高清				channel
CCTV新闻高清			channel_name				CCTV-13高清				channel
中央新闻高清			channel_name				CCTV-13高清				channel
央视新闻高清			channel_name				CCTV-13高清				channel
CCTV14高清			channel_name				CCTV-14高清				channel
中央14高清			channel_name				CCTV-14高清				channel
中央14台高清			channel_name				CCTV-14高清				channel
中央14套高清			channel_name				CCTV-14高清				channel
央视14台高清			channel_name				CCTV-14高清				channel
央视14套高清			channel_name				CCTV-14高清				channel
CCTV少儿高清			channel_name				CCTV-14高清				channel
中央少儿高清			channel_name				CCTV-14高清				channel
央视少儿高清			channel_name				CCTV-14高清				channel
CCTV15高清			channel_name				CCTV-15高清				channel
中央15台高清			channel_name				CCTV-15高清				channel
中央15套高清			channel_name				CCTV-15高清				channel
央视15台高清			channel_name				CCTV-15高清				channel
央视15套高清			channel_name				CCTV-15高清				channel
CCTV音乐高清			channel_name				CCTV-15高清				channel
中央音乐高清			channel_name				CCTV-15高清				channel
央视音乐高清			channel_name				CCTV-15高清				channel
CCTVNEWS高清			channel_name				CCTV-NEWS高清			channel
IPTV3				channel_name				IPTV-3				channel
IPTV5				channel_name				IPTV-5				channel
IPTV6				channel_name				IPTV-6				channel
IPTV8				channel_name				IPTV-8				channel
IPTV谍战				channel_name				IPTV谍战				channel
IPTV相声小品			channel_name				IPTV相声小品				channel
IPTV野外				channel_name				IPTV野外				channel
IPTV法治				channel_name				IPTV法治				channel
IPTV经典				channel_name				IPTV经典				channel
IPTV谍战剧场			channel_name				IPTV谍战剧场				channel
CDTV1				channel_name				CDTV-1				channel
CDTV一				channel_name				CDTV-1				channel
成都一台				channel_name				CDTV-1				channel
成都一套				channel_name				CDTV-1				channel
成都一频道			channel_name				CDTV-1				channel
成都新闻综合频道 	    channel_name				CDTV-1				channel
CDTV2				channel_name				CDTV-2				channel
成都2台				channel_name				CDTV-2				channel
成都2频道				channel_name				CDTV-2				channel
成都2套				channel_name				CDTV-2				channel
成都经济资讯频道		channel_name				CDTV-2				channel
CDTV3				channel_name				CDTV-3				channel
成都3台				channel_name				CDTV-3				channel
成都3频道				channel_name				CDTV-3				channel
成都3套				channel_name				CDTV-3				channel
成都都市生活频道		channel_name				CDTV-3				channel
CDTV4				channel_name				CDTV-4				channel
成都4台				channel_name				CDTV-4				channel
成都4频道				channel_name				CDTV-4				channel
成都4套				channel_name				CDTV-4				channel
成都影视文艺频道		channel_name				CDTV-4				channel
CDTV5				channel_name				CDTV-5				channel
成都5台				channel_name				CDTV-5				channel
成都5频道				channel_name				CDTV-5				channel
成都5套				channel_name				CDTV-5				channel
成都第5频道公共频道	channel_name				CDTV-5				channel
CDTV6				channel_name				CDTV-6				channel
成都6台				channel_name				CDTV-6				channel
成都6频道				channel_name				CDTV-6				channel
成都6套				channel_name				CDTV-6				channel
成都少儿频道			channel_name				CDTV-6				channel
CDTV7				channel_name				CDTV-7				channel
成都7台				channel_name				CDTV-7				channel
成都7频道				channel_name				CDTV-7				channel
成都7套				channel_name				CDTV-7				channel
CDTV8				channel_name				CDTV-8				channel
成都8台				channel_name				CDTV-8				channel
成都8频道				channel_name				CDTV-8				channel
成都8套				channel_name				CDTV-8				channel
CDTV1高清			channel_name				CDTV-1高清				channel
CDTV一高清			channel_name				CDTV-1高清				channel
成都一套高清			channel_name				CDTV-1高清				channel
成都一台高清			channel_name				CDTV-1高清				channel
CDTV5高清			channel_name				CDTV-5高清				channel
成都5高清			    channel_name				CDTV-5高清				channel
CETV1				channel_name				CETV1				channel
CETV1HD				channel_name				CETV1高清			channel
CETV1高清			channel_name				CETV1高清			channel
CETV2				channel_name				CETV2				channel
CETV空中课堂			channel_name				CETV空中课堂				channel
CGTN				channel_name				CGTN				channel
CHC家庭影院			channel_name				CHC家庭影院				channel
CNC中文   			channel_name				CNC中文台				channel
CNC英文   			channel_name				CNC英文台				channel
